Date,CAC Index,AC FP Equity,AF FP Equity,AI FP Equity,ALU FP Equity,ALO FP Equity,MT NA Equity,CS FP Equity,BNP FP Equity,EN FP Equity,CAP FP Equity,CA FP Equity,ACA FP Equity,BN FP Equity,DEXB BB Equity,EAD FP Equity,EDF FP Equity,EI FP Equity,FTE FP Equity,GSZ FP Equity,OR FP Equity,LG FP Equity,MMB FP Equity,MC FP Equity,ML FP Equity,RI FP Equity,UG FP Equity,PP FP Equity,RNO FP Equity,SGO FP Equity,SAN FP Equity,SU FP Equity,GLE FP Equity,STM FP Equity,SEV FP Equity,FP FP Equity,UL FP Equity,VK FP Equity,VIE FP Equity,DG FP Equity,VIV FP Equity,TEC FP Equity
2005-02-08,3980.77,32.7195,14.8,55.5785,10.01,13.6,29.69,18.3061,52.7019,32.15,26.87,40.58,21.0716,33.3331,17.6,23.43,,27.475,24.6375,,58.65,70.3709,54.871,55.5,53.15,41.0707,49.4,79.85,65.7,43.5261,57.8,58.3545,68.1681,13.54,,41.9928,93.8267,29.888,26.9027,27.9813,24.61,30.7143
2005-02-09,3969.62,32.5115,14.85,55.6198,10.0,13.4,29.85,18.1144,52.7501,31.99,26.7,40.41,20.9263,33.4038,17.73,23.39,,27.225,24.7172,,58.35,69.8062,55.9355,55.0,52.95,41.4559,49.91,79.55,67.1,43.3353,57.5,58.404,67.7715,13.4,,41.8201,94.5137,30.0821,26.735500000000002,27.9077,24.59,31.0756
2005-02-10,3970.37,32.7763,14.82,55.4132,9.87,13.4,29.9,18.0377,53.0394,31.95,26.71,40.17,20.9717,33.2859,17.72,23.32,,27.45,24.1593,,57.9,69.5455,56.371,55.3,52.15,41.4945,49.59,79.25,67.0,43.4262,57.6,58.404,70.2391,13.3,,41.8448,93.9739,29.6939,26.6765,27.9322,24.69,30.7625
2005-02-11,4016.75,33.5801,14.99,55.3719,9.92,13.8,29.7,18.5074,54.052,32.34,26.56,40.33,21.1442,34.1823,17.83,23.7,,27.325,24.1593,,58.45,70.5446,56.6129,56.15,53.3,41.4174,50.0,79.75,68.5,43.7623,57.75,59.0969,71.9136,13.5,,42.4369,93.7285,30.0821,26.7945,28.1777,24.92,31.3647
2005-02-14,4012.11,33.5328,15.0,55.4959,9.92,13.6,30.07,18.5361,54.1002,32.35,27.01,39.78,21.008,34.0408,17.86,23.59,,27.425,24.1394,,58.15,69.8062,56.6129,56.15,52.5,41.1477,50.2,81.35,68.0,43.9622,58.0,58.404,71.1204,13.49,,42.3876,95.3479,31.0525,26.7454,28.4477,24.85,30.8588
2005-02-15,4030.45,34.0245,14.95,55.5372,9.88,14.4,30.0,18.5457,54.2931,32.57,26.87,40.05,20.6903,34.2059,18.15,24.0,,27.5,24.4283,,58.25,69.9365,57.0,56.45,52.45,40.9165,50.8,81.7,68.95,44.2438,57.6,58.602,71.561,13.57,,42.5603,95.4461,31.5183,27.0207,28.4967,25.2,30.6179
2005-02-16,4009.02,33.268,14.68,55.3306,9.74,14.2,29.5,18.3348,53.7145,32.25,26.45,39.77,20.5087,34.2531,17.97,24.1,,27.45,24.3586,,57.6,69.589,58.1129,56.2,52.55,41.9953,50.75,81.0,68.5,43.8895,57.75,58.1565,70.9441,13.2,,42.585,96.2803,31.5571,26.6667,28.4477,24.83,30.7625
2005-02-17,4005.5,33.5612,14.51,55.3306,9.57,14.0,31.06,18.4882,53.3769,32.68,26.0,39.8,20.427,34.2295,18.0,24.12,,27.25,23.7309,,58.9,69.4152,58.9355,55.85,53.65,41.6486,51.1,81.15,68.75,43.5624,57.55,58.008,70.6357,13.0,,42.9797,95.7405,30.8584,26.6175,28.2513,24.8,31.8465
2005-02-18,4029.02,33.9111,14.34,55.8264,9.51,13.8,30.65,18.6799,53.4252,32.68,25.69,39.99,20.8174,34.9136,17.94,24.38,,27.4,23.5516,,59.55,69.5021,59.9032,57.2,54.45,42.265,51.2,83.55,68.9,43.7078,58.55,58.2555,71.0763,12.82,,43.4978,95.6424,31.2466,26.5291,27.8095,24.45,32.2079
2005-02-21,4022.62,33.4382,14.31,56.3223,9.56,13.8,30.84,18.8141,52.6055,31.95,26.0,39.92,20.6086,35.008,17.85,24.58,,27.175,23.2726,,59.75,68.4161,59.0806,56.8,54.0,42.7659,51.0,82.55,69.05,43.199,60.85,58.5525,70.0628,12.87,,43.7446,91.8638,31.1495,25.5654,26.8522,24.1,31.8947
